fromNode	toNode	weight	direction	fromAltName	toAltName
Glyoxylic acid	D-alpha-Aminobutyric acid	0.389112566597889	undirected	Glyoxylic acid	D-alpha-Aminobutyric acid
Glyoxylic acid	Leucinic acid	0.348876632547508	undirected	Glyoxylic acid	Leucinic acid
Glyoxylic acid	Malonic acid	0.390317947421179	undirected	Glyoxylic acid	Malonic acid
Glyoxylic acid	Levulinic acid	0.0881481918468643	undirected	Glyoxylic acid	Levulinic acid
Glyoxylic acid	p-Hydroxymandelic acid	0.0881481918468643	undirected	Glyoxylic acid	p-Hydroxymandelic acid
Glyoxylic acid	Undecanedioic acid	0.0409668795746393	undirected	Glyoxylic acid	Undecanedioic acid
Glyoxylic acid	Dehydroepiandrosterone sulfate	0.212881314282829	undirected	Glyoxylic acid	Dehydroepiandrosterone sulfate
Glyoxylic acid	Arachidonic acid	0.281561801849512	undirected	Glyoxylic acid	Arachidonic acid
Glyoxylic acid	4-Methoxyphenylacetic acid	0.0508378926620554	undirected	Glyoxylic acid	4-Methoxyphenylacetic acid
Glyoxylic acid	Itaconic acid	0.273936486407685	undirected	Glyoxylic acid	Itaconic acid
Glyoxylic acid	Heneicosanoic acid	0.356050915609386	undirected	Glyoxylic acid	Heneicosanoic acid
Glyoxylic acid	Phosphonoacetate	0.0627283683095249	undirected	Glyoxylic acid	Phosphonoacetate
Glyoxylic acid	Galactinol	0.0881481918468643	undirected	Glyoxylic acid	Galactinol
Glyoxylic acid	2-Phenylpropionate	0.467262463559677	undirected	Glyoxylic acid	2-Phenylpropionate
Glyoxylic acid	D-Tryptophan	0.137147444556663	undirected	Glyoxylic acid	D-Tryptophan
Glyoxylic acid	2,4-Di-tert-butylphenol	0.397969314182526	undirected	Glyoxylic acid	2,4-Di-tert-butylphenol
Glyoxylic acid	Mulberrin	0.0881481918468643	undirected	Glyoxylic acid	Mulberrin
Glyoxylic acid	Limocitrin	0.0272979669544646	undirected	Glyoxylic acid	Limocitrin
Glyoxylic acid	Indole-3-methyl acetate	0.423575261196854	undirected	Glyoxylic acid	Indole-3-methyl acetate
Glyoxylic acid	1,2,3-Propanetricarboxylic acid	0.0881481918468643	undirected	Glyoxylic acid	1,2,3-Propanetricarboxylic acid
Glyoxylic acid	4-tert-Butylphenol	0.0881481918468643	undirected	Glyoxylic acid	4-tert-Butylphenol
Glyoxylic acid	p-Hydroxyhippuric acid	0.0881481918468643	undirected	Glyoxylic acid	p-Hydroxyhippuric acid
Glyoxylic acid	Hesperetin 7-neohesperidoside	0.0881481918468643	undirected	Glyoxylic acid	Hesperetin 7-neohesperidoside
Glyoxylic acid	Vanillin 4-sulfate	0.0881481918468643	undirected	Glyoxylic acid	Vanillin 4-sulfate
Glyoxylic acid	gamma-Aminobutyric acid	0.127356875184038	undirected	Glyoxylic acid	gamma-Aminobutyric acid
Glyoxylic acid	Methylmalonic acid	0.0881481918468643	undirected	Glyoxylic acid	Methylmalonic acid
Glyoxylic acid	Oleic acid	0.379375704612699	undirected	Glyoxylic acid	Oleic acid
Glyoxylic acid	Orotic acid	0.0298980523675958	undirected	Glyoxylic acid	Orotic acid
Glyoxylic acid	Sphinganine	0.11833064385297	undirected	Glyoxylic acid	Sphinganine
Glyoxylic acid	17alpha-Estradiol	0.0881481918468643	undirected	Glyoxylic acid	17alpha-Estradiol
Glyoxylic acid	Indolelactic acid	0.0302720031776501	undirected	Glyoxylic acid	Indolelactic acid
Glyoxylic acid	Linoleic acid	0.458741687630199	undirected	Glyoxylic acid	Linoleic acid
Glyoxylic acid	Hydroxyoctanoic acid	0.0881481918468643	undirected	Glyoxylic acid	Hydroxyoctanoic acid
Glyoxylic acid	L-Pipecolic acid	0.066080210631559	undirected	Glyoxylic acid	L-Pipecolic acid
Glyoxylic acid	Pelargonic acid	0.275670201627324	undirected	Glyoxylic acid	Pelargonic acid
Glyoxylic acid	Spermidine	0.406437364806195	undirected	Glyoxylic acid	Spermidine
Glyoxylic acid	Pyridoxamine	0.0881481918468643	undirected	Glyoxylic acid	Pyridoxamine
Glyoxylic acid	Nicotinic acid	0.138788257455378	undirected	Glyoxylic acid	Nicotinic acid
Glyoxylic acid	N-Acetyllactosamine	0.0881481918468643	undirected	Glyoxylic acid	N-Acetyllactosamine
Glyoxylic acid	Glucose 1-phosphate	0.420346501147185	undirected	Glyoxylic acid	Glucose 1-phosphate
Glyoxylic acid	Ethenodeoxyadenosine	0.0881481918468643	undirected	Glyoxylic acid	Ethenodeoxyadenosine
Glyoxylic acid	Guanidine	0.0881481918468643	undirected	Glyoxylic acid	Guanidine
Glyoxylic acid	all-trans-Retinoic acid	0.279812717986131	undirected	Glyoxylic acid	all-trans-Retinoic acid
Glyoxylic acid	2-Ethylacrylic acid	0.175092181941133	undirected	Glyoxylic acid	2-Ethylacrylic acid
Glyoxylic acid	17a-Ethynylestradiol	0.410252919281825	undirected	Glyoxylic acid	17a-Ethynylestradiol
Glyoxylic acid	Eicosapentaenoic acid	0.0229646755620752	undirected	Glyoxylic acid	Eicosapentaenoic acid
Glyoxylic acid	2-Pyrrolidinone	0.395164849454133	undirected	Glyoxylic acid	2-Pyrrolidinone
Glyoxylic acid	3,4-Dimethylbenzoic acid	0.283242078093715	undirected	Glyoxylic acid	3,4-Dimethylbenzoic acid
Glyoxylic acid	Terephthalic acid	0.0447861669056657	undirected	Glyoxylic acid	Terephthalic acid
Glyoxylic acid	Nandrolone	0.35451068771039	undirected	Glyoxylic acid	Nandrolone
Glyoxylic acid	Methylimidazoleacetic acid	0.0742202126882785	undirected	Glyoxylic acid	Methylimidazoleacetic acid
